model,dependent_variable,predictors_used,term,estimate,std.error,statistic,p.value,conf.low,conf.high
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",(Intercept),3.1635153882890537,0.21141471826096925,14.963553220471749,4.600306220302335e-49,2.7490014999087613,3.578029276669346
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",trend,-1.0688607574427585e-4,1.0928699615814215e-5,-9.780310512845272,2.697715812377792e-22,-1.2831361782816912e-4,-8.545853366038257e-5
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_cpi_rel_chl_us,1.6398998185711193,0.0768627135124714,21.33544008051494,7.497883232548219e-95,1.4891976228508272,1.7906020142914114
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_pcu,-0.13618116167587851,0.009400738424518952,-14.48621964852161,3.500249298100261e-46,-0.15461288047978536,-0.11774944287197167
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_wti,0.04596186084423731,0.0044819060101921075,10.25498097008671,2.5465770946137507e-24,0.03717433506116265,0.05474938662731198
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_vix,0.081482384197029,0.003278079623054265,24.8567434494193,2.1767124393706354e-125,0.07505516123852561,0.08790960715553238
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_dtw,0.9174486219709215,0.03896809675567,23.54358304238786,1.3102040093742677e-113,0.8410451556378288,0.9938520883040142
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_cny,-0.21749398415370647,0.04426763133358715,-4.913160645861966,9.38823409671329e-7,-0.30428807372518035,-0.13069989458223258
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_eq_nsq,0.3026546693544275,0.011069268949380633,27.341884160413514,7.453293059521619e-149,0.28095151759906506,0.3243578211097899
Tipo de cambio USD/CLP,log(USDCLP),"trend, l_cpi_rel_chl_us, l_pcu, l_wti, l_vix, l_dtw, l_cny, l_eq_nsq, l_eq_cny",l_eq_cny,-0.1510124146464407,0.0070108682600660095,-21.539759277265162,1.5741373460574678e-96,-0.16475839357972696,-0.13726643571315442
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",(Intercept),46.32557866987779,2.2253627504338036,20.817090903875002,1.1773964683949701e-90,41.962384931140825,50.68877240861476
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",trend,0.0019526163559150898,1.1250356903797178e-4,17.35603921379641,1.0496791567461026e-64,0.0017320344000445911,0.0021731983117855885
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",y10_tsy,0.7103866443349443,0.016231815020753305,43.765077622353026,0,0.6785614717184432,0.7422118169514453
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",l_vix,-0.03091997156747683,0.045602999078172855,-0.6780249587197913,0.497802293826653,-0.12033223480713255,0.058492291672178884
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",l_dtw,1.0645878385456078,0.31834112561362743,3.3441731302970403,8.34279632774704e-4,0.4404271232693704,1.6887485538218452
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",l_cny,-14.963530552918899,0.47872915256024584,-31.256777392590077,1.2962756727052415e-188,-15.902158666737439,-14.024902439100359
Tasa soberana 10Y CLP,10YCLP,"trend, y10_tsy, l_vix, l_dtw, l_cny, l_eq_nsq",l_eq_nsq,-2.548410171437476,0.14853249010387423,-17.15725744350801,2.4815434485023167e-63,-2.839632818484076,-2.2571875243908757
