date,country,serie,z_score
2022-01-03,BRL,FX,0.1943492529171304
2022-01-04,BRL,FX,0.4858125161879201
2022-01-05,BRL,FX,0.4552081779494278
2022-01-06,BRL,FX,0.45758660231337805
2022-01-07,BRL,FX,0.650075127727239
2022-01-10,BRL,FX,0.5524060119057758
2022-01-11,BRL,FX,0.5725094688860007
2022-01-12,BRL,FX,0.5713716869517016
2022-01-13,BRL,FX,0.36359490444923814
2022-01-14,BRL,FX,0.465761282849126
2022-01-17,BRL,FX,0.25393974084013077
2022-01-18,BRL,FX,0.3353738535055266
2022-01-19,BRL,FX,0.4694373515208504
2022-01-20,BRL,FX,3.3128952367012036e-4
2022-01-21,BRL,FX,-0.09284100533029267
2022-01-24,BRL,FX,-0.3084256430842427
2022-01-25,BRL,FX,-0.207985803634063
2022-01-26,BRL,FX,-0.4275230728126459
2022-01-27,BRL,FX,-0.6724583868526325
2022-01-28,BRL,FX,-0.8088917498898073
2022-01-31,BRL,FX,-0.7401579467318892
2022-02-01,BRL,FX,-0.6891004650671771
2022-02-02,BRL,FX,-0.7247480434650887
2022-02-03,BRL,FX,-0.5945873996875233
2022-02-04,BRL,FX,-0.343844780035525
2022-02-07,BRL,FX,-0.3082699952624924
2022-02-08,BRL,FX,-0.2762465519133269
2022-02-09,BRL,FX,-0.2665409088201445
2022-02-10,BRL,FX,-0.5129911832365902
2022-02-11,BRL,FX,-0.6765452482622637
2022-02-14,BRL,FX,-0.6422709696237646
2022-02-15,BRL,FX,-0.6101132535006987
2022-02-16,BRL,FX,-0.5364323637983688
2022-02-17,BRL,FX,-0.7085561867669334
2022-02-18,BRL,FX,-0.7248515230870727
2022-02-21,BRL,FX,-0.8414958492927004
2022-02-22,BRL,FX,-1.0155476677415263
2022-02-23,BRL,FX,-1.1233949823520024
2022-02-24,BRL,FX,-1.374419136579423
2022-02-25,BRL,FX,-1.1145950897456456
2022-02-28,BRL,FX,-1.28898638166495
2022-03-01,BRL,FX,-1.3393613917886442
2022-03-02,BRL,FX,-1.1568491608004834
2022-03-03,BRL,FX,-1.5030294735022574
2022-03-04,BRL,FX,-1.7190718959804172
2022-03-07,BRL,FX,-1.8066323981340469
2022-03-08,BRL,FX,-1.651616010288108
2022-03-09,BRL,FX,-1.774894792245911
2022-03-10,BRL,FX,-1.3662219671036415
2022-03-11,BRL,FX,-1.4257357519205893
2022-03-14,BRL,FX,-1.2371887318681345
2022-03-15,BRL,FX,-1.036135917594957
2022-03-16,BRL,FX,-0.9122499035959984
2022-03-17,BRL,FX,-0.8183690752151279
2022-03-18,BRL,FX,-0.9297756344209916
2022-03-21,BRL,FX,-0.8340528634835851
2022-03-22,BRL,FX,-1.0798888257922215
2022-03-23,BRL,FX,-1.102284273207997
2022-03-24,BRL,FX,-1.2820215529042918
2022-03-25,BRL,FX,-1.1806959744943366
2022-03-28,BRL,FX,-1.5169824524301012
2022-03-29,BRL,FX,-1.6138064325847135
2022-03-30,BRL,FX,-1.4004259083581425
2022-03-31,BRL,FX,-1.456912334697635
2022-04-01,BRL,FX,-1.4774753386954016
2022-04-04,BRL,FX,-1.770460586609674
2022-04-05,BRL,FX,-1.9352351306606563
2022-04-06,BRL,FX,-1.7542032828949863
2022-04-07,BRL,FX,-1.5295692678797284
2022-04-08,BRL,FX,-1.2299892903150305
2022-04-11,BRL,FX,-1.3937222005967649
2022-04-12,BRL,FX,-1.479660873229298
2022-04-13,BRL,FX,-1.5167965228807174
2022-04-14,BRL,FX,-1.021320621052145
2022-04-18,BRL,FX,-1.0548729121891072
2022-04-19,BRL,FX,-1.3814402907452197
2022-04-20,BRL,FX,-1.2813934474133066
2022-04-21,BRL,FX,-1.4354594253723056
2022-04-22,BRL,FX,-1.4627735880171897
2022-04-25,BRL,FX,-1.1951248447955933
2022-04-26,BRL,FX,-1.3680416101565744
2022-04-27,BRL,FX,-0.9416818739229412
2022-04-28,BRL,FX,-0.8578416640688548
2022-04-29,BRL,FX,-1.1636736418251352
2022-05-02,BRL,FX,-0.7860533674969883
2022-05-03,BRL,FX,-0.4550106738640849
2022-05-04,BRL,FX,-0.5436584865745235
2022-05-05,BRL,FX,-0.5686005900377608
2022-05-06,BRL,FX,-0.05594480407661183
2022-05-09,BRL,FX,-3.125382829600795e-4
2022-05-10,BRL,FX,-0.10722253020494242
2022-05-11,BRL,FX,-0.0602398492130276
2022-05-12,BRL,FX,0.06956099753911642
2022-05-13,BRL,FX,-0.02946722956376478
2022-05-16,BRL,FX,-0.05992335278135938
2022-05-17,BRL,FX,-0.1449692281277433
2022-05-18,BRL,FX,-0.5560409414316431
2022-05-19,BRL,FX,-0.3558452119982404
2022-05-20,BRL,FX,-0.5743863526699017
2022-05-23,BRL,FX,-0.7598226508819574
2022-05-24,BRL,FX,-0.7678081836744713
2022-05-25,BRL,FX,-0.7556181457724273
2022-05-26,BRL,FX,-0.7160905169386134
2022-05-27,BRL,FX,-1.0857961190577077
2022-05-30,BRL,FX,-1.2851230451038649
2022-05-31,BRL,FX,-1.033785384135374
2022-06-01,BRL,FX,-0.9941854560032215
