date,country,serie,z_score
2012-10-05,BRL,FX,1.4489264198610352
2012-10-08,BRL,FX,1.3646773515427422
2012-10-09,BRL,FX,1.3031743514627716
2012-10-10,BRL,FX,1.2640438130176406
2012-10-11,BRL,FX,1.3291867575906204
2012-10-12,BRL,FX,1.2572563713320195
2012-10-16,BRL,FX,1.382867348043846
2012-10-17,BRL,FX,1.580731344349484
2012-10-18,BRL,FX,1.5792474774160865
2012-10-19,BRL,FX,1.2446651154577608
2012-10-22,BRL,FX,1.3258521152811467
2012-10-23,BRL,FX,0.9261667327681393
2012-10-24,BRL,FX,0.9252952717179221
2012-10-25,BRL,FX,1.0833626800078378
2012-10-26,BRL,FX,0.8618288884783635
2012-10-29,BRL,FX,0.8282940509442653
2012-10-30,BRL,FX,0.9137792772408068
2012-10-31,BRL,FX,0.8922047136147786
2012-11-05,BRL,FX,0.6885289948449349
2012-11-06,BRL,FX,0.9685045707356537
2012-11-07,BRL,FX,0.775289506189449
2012-11-08,BRL,FX,0.8216384467542089
2012-11-09,BRL,FX,0.8665498351823003
2012-11-12,BRL,FX,0.891118466421924
2012-11-13,BRL,FX,0.9557647830859065
2012-11-14,BRL,FX,0.8430502110954318
2012-11-15,BRL,FX,0.7396602279420325
2012-11-16,BRL,FX,0.9145456056010005
2012-11-19,BRL,FX,1.1731023913002443
2012-11-20,BRL,FX,1.2780382730682898
2012-11-21,BRL,FX,1.384746847860359
2012-11-22,BRL,FX,1.4316091579595314
2012-11-23,BRL,FX,1.6250897371946824
2012-11-26,BRL,FX,1.3086960635801743
2012-11-27,BRL,FX,1.1726937593309648
2012-11-28,BRL,FX,1.2183336332161034
2012-11-29,BRL,FX,1.4281096800975666
2012-11-30,BRL,FX,1.4382105799957963
2012-12-03,BRL,FX,1.3609131656941436
2012-12-04,BRL,FX,1.320196277282809
2012-12-05,BRL,FX,1.3348638366352066
2012-12-06,BRL,FX,1.077236022274288
2012-12-07,BRL,FX,1.1396566246901925
2012-12-10,BRL,FX,1.2243767275912525
2012-12-11,BRL,FX,1.270044049648191
2012-12-12,BRL,FX,1.4597055412320694
2012-12-13,BRL,FX,1.3970179464639936
2012-12-14,BRL,FX,1.4337814486937663
2012-12-17,BRL,FX,1.618066562088265
2012-12-18,BRL,FX,1.7103772283602783
2012-12-19,BRL,FX,1.504550114032252
2012-12-20,BRL,FX,1.2360978568183556
2012-12-21,BRL,FX,1.2233871578801203
2012-12-24,BRL,FX,1.2992817438790731
2012-12-26,BRL,FX,1.1229731953134865
2012-12-27,BRL,FX,0.9751966650708436
2012-12-28,BRL,FX,0.6037069238831648
2013-01-02,BRL,FX,1.4499389781234608
2013-01-03,BRL,FX,1.452911844679057
2013-01-04,BRL,FX,1.3070054822902968
2013-01-07,BRL,FX,1.2366547188253467
2013-01-08,BRL,FX,1.1955731931063363
2013-01-09,BRL,FX,1.2194038844817185
2013-01-10,BRL,FX,1.3960234094764157
2013-01-11,BRL,FX,1.3900009400029198
2013-01-14,BRL,FX,1.3851319152695718
2013-01-15,BRL,FX,1.4113970701698884
2013-01-16,BRL,FX,1.3717271592288238
2013-01-17,BRL,FX,1.4678279883963927
2013-01-18,BRL,FX,1.5003388139235252
2013-01-21,BRL,FX,1.4506131724433615
2013-01-22,BRL,FX,1.5296057654339958
2013-01-23,BRL,FX,1.39087192329424
2013-01-24,BRL,FX,1.2147710124967683
2013-01-25,BRL,FX,1.164621226510178
2013-01-28,BRL,FX,1.0830901415910148
2013-01-29,BRL,FX,0.8815220105005641
2013-01-30,BRL,FX,0.7900065908116978
2013-01-31,BRL,FX,0.7343172339134147
2013-02-01,BRL,FX,0.9386878106635497
2013-02-04,BRL,FX,0.778420208416798
2013-02-05,BRL,FX,0.843515115506497
2013-02-06,BRL,FX,0.7888144314396643
2013-02-07,BRL,FX,0.7556914457128013
2013-02-08,BRL,FX,0.4274019087543372
2013-02-11,BRL,FX,0.4771833858029049
2013-02-12,BRL,FX,0.5463350483193886
2013-02-13,BRL,FX,0.6089069362610569
2013-02-14,BRL,FX,0.48571386655798393
2013-02-15,BRL,FX,0.3404168413824991
2013-02-18,BRL,FX,0.424728277273956
2013-02-19,BRL,FX,0.337438194153354
