country,block,term,estimate,std_error,statistic,p_value
CLP,FX,(Intercept),1.58984,0.202585,7.84777,5.63703e-15
CLP,FX,trend,-1.3791e-4,1.017e-5,-13.5605,7.87294e-41
CLP,FX,cpi_rel,2.51843,0.0904408,27.8462,8.020799999999998e-154
CLP,FX,l_wti,0.079857,0.00469913,16.994,3.2421899999999996e-62
CLP,FX,l_pcu,-0.105316,0.01132,-9.30354,2.3712899999999997e-20
CLP,FX,l_gold_silver,-0.00938908,0.00405503,-2.31541,0.0206499
CLP,FX,l_eqnsq,0.282129,0.0102662,27.4814,3.0427099999999994e-150
CLP,FX,l_eqcny,-0.165078,0.0072957,-22.6267,1.1372699999999998e-105
CLP,FX,l_vix,0.074246500000000007,0.00322951,22.99,8.536149999999997e-109
CLP,FX,l_dtw,0.815301,0.0426242,19.1276,1.6031599999999997e-77
CLP,FX,l_cny,-0.12727,0.0457889,-2.77949,0.00547447
CLP,FX,y10_us,-0.0228857,0.0017634,-12.9782,1.2688399999999999e-37
BRL,FX,(Intercept),-6.11858,0.292122,-20.9453,1.0817999999999999e-91
BRL,FX,trend,2.20609e-4,1.36222e-5,16.1948,7.172989999999999e-57
BRL,FX,cpi_rel,-0.748668,0.0618632,-12.102,4.91676e-33
BRL,FX,l_wti,-0.0557809,0.00583279,-9.56334,2.12096e-21
BRL,FX,l_pcu,0.00586596,0.015551,0.377207,0.706043
BRL,FX,l_gold_silver,-0.114712,0.00533992,-21.4819,4.583469999999999e-96
BRL,FX,l_eqnsq,0.247565,0.0141298,17.5208,7.420569999999999e-66
BRL,FX,l_eqcny,-0.0540934,0.0103366,-5.23318,1.76768e-7
BRL,FX,l_vix,0.0747034,0.00492224,15.1767,2.22221e-50
BRL,FX,l_dtw,1.82421,0.0608017,30.0026,1.4670499999999995e-175
BRL,FX,l_cny,-1.14153,0.0619267,-18.4336,2.2157999999999998e-72
BRL,FX,y10_us,-0.0697945,0.0021275,-32.8058,3.516529999999999e-205
MXN,FX,(Intercept),-7.10391,0.229752,-30.9199,4.311749999999999e-185
MXN,FX,trend,-2.9692e-4,1.06391e-5,-27.9083,1.9599899999999992e-154
MXN,FX,cpi_rel,3.10895,0.0769593,40.3974,1.6175299999999993e-291
MXN,FX,l_wti,0.0524001,0.00482751,10.8545,5.2665499999999994e-27
MXN,FX,l_pcu,-0.0940857,0.0128833,-7.3029,3.49469e-13
MXN,FX,l_gold_silver,0.10319,0.00511745,20.1643,1.7633499999999996e-85
MXN,FX,l_eqnsq,0.0727914,0.0114096,6.37982,2.01386e-10
