variable,modelo,N,RMSE,MAE,Periodo,eval_start,nota
IMACEC no minero,Benchmark AR(1),64,3.016689296258114,2.2599619338670545,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC no minero,Modelo con estadísticas experimentales,64,3.480037698734443,2.4329471875433946,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC no minero,Promedio móvil 3m,64,3.827945548230735,2.4947534547272467,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC no minero,Naive estacional t-12,64,13.189136375434282,8.780780020680394,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC no minero,Modelo con indicadores sectoriales INE,64,19.303003481498784,5.539145173696039,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC total,Benchmark AR(1),64,2.77391422686487,2.0544230256998772,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC total,Modelo con estadísticas experimentales,64,3.4455854609111625,2.4840923857161075,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC total,Promedio móvil 3m,64,3.5945931896439847,2.378748575896631,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC total,Modelo con indicadores sectoriales INE,64,7.125230567896808,2.963461853769396,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
IMACEC total,Naive estacional t-12,64,11.657813756848785,7.896952645025489,2021-01 a 2026-04,2021-01-01,"Pseudo-OOS recursivo; usa información final disponible, no vintages en tiempo real."
