anio,crecimiento_nominal,tasa_efectiva,balance_primario,sfa_identificado,valorizacion_otros,ajuste_conciliacion,sfa_total,deuda_oficial,naturaleza,escenario,deuda_rezagada,efecto_interes_crecimiento,efecto_balance_primario,efecto_sfa_identificado,efecto_valorizacion_otros,efecto_ajuste_conciliacion,efecto_sfa,deuda_pib,cambio_deuda,balance_primario_estabilizador,brecha_primaria,distancia_nivel_prudente
2027,0.0416007991920257,0.0306840149359242,0.0007856745519935655,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.0105697082928109,0.431920170231312,Calibración a trayectoria oficial compatible con la meta,Base compatible con la meta,0.426607312003057,-0.0044711755125623,-0.0007856745519935655,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.0105697082928109,0.431920170231312,0.005312858228255,0.0060985327802485,-0.0053128582282549,0.0180798297686879
2028,0.0459652303136017,0.0322077311498313,0.0010163526236228,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838296,0.436738526651375,Calibración a trayectoria oficial compatible con la meta,Base compatible con la meta,0.431920170231312,-0.0056810123401438,-0.0010163526236228,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838296,0.436738526651375,0.004818356420063,0.0058347090436858,-0.0048183564200629,0.0132614733486249
2029,0.0478271712543234,0.033028346339188,0.0020077599315416,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.439800050458675,Calibración a trayectoria oficial compatible con la meta,Base compatible con la meta,0.436738526651375,-0.006168209001367,-0.0020077599315416,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.439800050458675,0.0030615238072999,0.0050692837388415,-0.0030615238072999,0.010199949541325
2030,0.0492406667035294,0.0324896951772417,0.002219870331232,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.0102799960394649,0.440838833631988,Calibración a trayectoria oficial compatible con la meta,Base compatible con la meta,0.439800050458675,-0.0070213425349198,-0.002219870331232,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.0102799960394649,0.440838833631988,0.001038783173313,0.003258653504545,-0.001038783173313,0.009161166368012
2031,0.051,0.032,0.001,0.005,0.0045,0.0,0.0095,,Supuesto editable,Base compatible con la meta,0.440838833631988,-0.0079694936622337,-0.001,0.005,0.0045,0.0,0.0095,0.4413693399697542,0.0005305063377662456,0.0015305063377662,-0.0005305063377662152,0.0086306600302457
2032,0.051,0.033,0.0015,0.0045,0.004,0.0,0.0085,,Supuesto editable,Base compatible con la meta,0.4413693399697542,-0.0075591323686541,-0.0015,0.0045,0.004,0.0,0.0085,0.4408102076011,-0.0005591323686541805,0.0009408676313458018,0.0005591323686541983,0.0091897923988999
2033,0.051,0.034,0.002,0.004,0.0035,0.0,0.0075,,Supuesto editable,Base compatible con la meta,0.4408102076011,-0.0071301365644325,-0.002,0.004,0.0035,0.0,0.0075,0.4391800710366675,-0.0016301365644325,0.00036986343556742393,0.0016301365644325,0.0108199289633325
2034,0.051,0.035,0.0025,0.0035,0.003,0.0,0.0065,,Supuesto editable,Base compatible con la meta,0.4391800710366675,-0.0066859002251062,-0.0025,0.0035,0.003,0.0,0.0065,0.4364941708115613,-0.0026859002251062,-0.00018590022510624887,0.0026859002251062,0.0135058291884387
2035,0.051,0.036,0.003,0.003,0.0025,0.0,0.0055,,Supuesto editable,Base compatible con la meta,0.4364941708115613,-0.0062296979659118,-0.003,0.003,0.0025,0.0,0.0055,0.4327644728456494,-0.0037296979659118,-0.0007296979659118527,0.0037296979659118,0.0172355271543505
2027,0.0416007991920257,0.0306840149359242,-0.0021974944046083,0.0078141858627845,0.003161772030915,0.0,0.0109759578936996,0.4353095887888026,Trayectoria oficial con gasto comprometido,Gasto comprometido (oficial),0.4266073120030568,-0.0044711755125623,0.0021974944046083,0.0078141858627845,0.003161772030915,0.0,0.0109759578936996,0.4353095887888026,0.0087022767857457,0.0065047823811373,-0.0087022767857456,0.0146904112111974
