year,debt,status,source,note
1990,0.4291330156145095,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1991,0.3698876228939384,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1992,0.3031862990374472,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1993,0.27918408470328737,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1994,0.2259550519732865,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1995,0.17283926438698122,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1996,0.14584476137957295,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1997,0.1277982318474117,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1998,0.12115296403975019,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
1999,0.1327700701034517,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2000,0.13145640004628362,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2001,0.1434808421362339,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2002,0.150453296702599,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2003,0.1257301782598649,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2004,0.10314064891946302,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2005,0.07039620494481798,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2006,0.05022397638467279,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2007,0.03901260284615362,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2008,0.04915989093654564,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2009,0.058449264307269044,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2010,0.08607327763945617,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2011,0.11126889523248124,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2012,0.11939073022487251,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2013,0.12784076135563158,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2014,0.15019748276696052,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2015,0.17374659705869805,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2016,0.21100504838965703,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2017,0.23651638853943197,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2018,0.25798027700548637,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2019,0.28297593142105837,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2020,0.323525886313543,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2021,0.364268387406484,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2022,0.3792336120913242,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2023,0.3938177463790172,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2024,0.4177732057900207,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
2025,0.4153631777476406,Efectivo,IFP 2T26 — Gráfico II.8.2,Cierre de año; serie oficial publicada por Dipres.
