type,component,y2026,y2027,y2028,y2029,y2030,dsa_class
Uso,Necesidades de financiamiento,22553257.624017235,19535293.29591646,23265151.232678402,20106477.587280236,21432825.613838043,Control
Uso,Déficit efectivo,7252012.437398464,5603592.539165005,6634019.316800863,6186760.219727054,5042557.572656974,Déficit
Uso,Amortizaciones de deuda,6689408.195158909,9086638.33793557,12689289.793898182,10132282.311063405,12809708.092327619,Amortización
Uso,Deuda flotante,2812442.48,0,0,0,0,Bajo la línea
Uso,Ejecución garantía CAE,408362,390341.283,369777.586,353430.354,339586.64,Bajo la línea
Uso,Compra cartera CAE,493672,497080,522681,540118,551551,Bajo la línea
Uso,Bonos de reconocimiento,129340,65331.57,44786.752,37109.067,33235.799,Bajo la línea
Uso,Acciones multilaterales,119630.787025881,103423.554263239,100092.010900173,97206.282170981,94333.402365685,Bajo la línea
Uso,Cuota BCCh,23080.312884382,23080.312884382,23080.312884382,23080.312884382,23080.312884382,Bajo la línea
Uso,Aportes a empresas públicas,349845.021605396,472311,421408,430344,431431,Bajo la línea
Uso,Compra de títulos y valores de servicios,746763.401,785012.081,833380.441,892515.073,964058.793,Bajo la línea
Uso,Operación fondos del Tesoro Público,834873.039082405,1523818.95866826,695941.343194806,685621.034434414,674421.464603383,Bajo la línea
Uso,Préstamos netos,1333715.787554934,984663.659,930694.676,728010.933,468861.537,Bajo la línea
Uso,Flujo final de caja,1360112.162306864,0,0,0,0,Bajo la línea
Fuente,Emisión de deuda,19972242.040686075,17655917.580859765,22162612.317150425,18951654.712873414,20213231.24718081,Emisión
Fuente,Uso de activos financieros,899554.402808793,1077581.176056694,265664.871527976,271484.410406828,276311.569657236,Financiamiento con activos
Fuente,Venta de activos / ingresos por percibir,1681461.180522373,801794.539,836874.044,883338.464,943282.797,Financiamiento con activos
