country,block,term,estimate,std_error,statistic,p_value
CLP,FX,(Intercept),1.1233,0.19206,5.849,5.4168e-9
CLP,FX,trend,-1.2203e-4,1.0361e-5,-11.779,2.0461e-31
CLP,FX,cpi_rel,1.8283,0.072031,25.382,2.938199999999999e-130
CLP,FX,l_wti,0.058212,0.0044669,13.032,6.493299999999999e-38
CLP,FX,l_pcu,-0.14938,0.0091872,-16.26,2.6758e-57
CLP,FX,l_eqnsq,0.30071,0.01044,28.804,2.2746999999999994e-163
CLP,FX,l_eqcny,-0.13075,0.0070116,-18.648,5.891499999999999e-74
CLP,FX,l_vix,0.086048,0.0031622,27.211,1.2724999999999997e-147
CLP,FX,l_dtw,0.85601,0.037996,22.529,7.689899999999999e-105
CLP,FX,l_cny,-0.18617,0.042347,-4.3964,1.1347e-5
BRL,FX,(Intercept),-8.3091,0.32377,-25.664,7.058799999999999e-133
BRL,FX,trend,-2.7585e-5,1.3498e-5,-2.0437,0.041063
BRL,FX,cpi_rel,0.068429,0.066149,1.0345,0.30099
BRL,FX,l_wti,-0.020103,0.0063578,-3.1619,0.0015813
BRL,FX,l_pcu,-0.20854,0.015495,-13.459,2.9234999999999997e-40
BRL,FX,l_eqnsq,0.43279,0.015196,28.481,3.903199999999999e-160
BRL,FX,l_eqcny,0.066455,0.011074,6.001,2.1682e-9
BRL,FX,l_vix,0.16475,0.0045509,36.201,7.466199999999997e-243
BRL,FX,l_dtw,1.4634,0.061533,23.783,9.530599999999998e-116
BRL,FX,l_cny,-0.81577,0.065206,-12.511,3.8598999999999996e-35
MXN,FX,(Intercept),-6.5629,0.26432,-24.829,3.615999999999999e-125
MXN,FX,trend,-3.3764e-4,1.0709e-5,-31.53,1.5466999999999994e-191
MXN,FX,cpi_rel,2.7464,0.076319,35.985,2.043799999999999e-240
MXN,FX,l_wti,6.9419e-4,0.0053335,0.13016,0.89645
MXN,FX,l_pcu,-0.021987,0.012464,-1.764,0.077817
MXN,FX,l_eqnsq,0.17699,0.013151,13.458,2.9494e-40
MXN,FX,l_eqcny,0.097316,0.009223,10.551,1.2451000000000002e-25
MXN,FX,l_vix,0.069386,0.0037326,18.589,1.6053e-73
MXN,FX,l_dtw,1.6111,0.045429,35.464,1.5632999999999993e-234
MXN,FX,l_cny,-0.076758,0.05253,-1.4612,0.14404
PEN,FX,(Intercept),-3.4315,0.16763,-20.47,6.752299999999999e-88
PEN,FX,trend,-7.0342e-5,6.9788e-6,-10.079,1.4592e-23
PEN,FX,cpi_rel,1.9251,0.073745,26.105,5.012999999999999e-137
PEN,FX,l_wti,0.089485,0.0035254,25.383,2.894099999999999e-130
PEN,FX,l_pcu,-0.055638,0.0083598,-6.6555,3.2817e-11
PEN,FX,l_eqnsq,0.1519,0.0083989,18.085,7.304999999999998e-70
PEN,FX,l_eqcny,0.001715,0.0057963,0.29587,0.76735
PEN,FX,l_vix,0.048347,0.0026113,18.514,5.659099999999999e-73
PEN,FX,l_dtw,0.90609,0.03187,28.43,1.2550999999999997e-159
PEN,FX,l_cny,-0.70075,0.033791,-20.738,4.957599999999999e-90
COP,FX,(Intercept),4.7251,0.24126,19.585,5.360499999999999e-81
COP,FX,trend,6.3124e-4,1.3272e-5,47.562,0
COP,FX,cpi_rel,-2.3149,0.064156,-36.083,1.6229999999999992e-241
