country,block,n_obs,r2,adj_r2,rmse,first_obs,last_obs
CLP,FX,3395,0.9627,0.9626,0.0384,2012-10-05,2026-06-02
BRL,FX,3395,0.972,0.9719,0.0542,2012-10-05,2026-06-02
MXN,FX,3395,0.9253,0.9251,0.0438,2012-10-05,2026-06-02
PEN,FX,3395,0.9394,0.9392,0.0277,2012-10-05,2026-06-02
COP,FX,3395,0.9748,0.9747,0.0431,2012-10-05,2026-06-02
CLP,10Y,4088,0.6557,0.6551,0.6136,2010-01-04,2026-06-02
BRL,10Y,4042,0.7827,0.7824,0.9802,2010-03-09,2026-06-02
MXN,10Y,3781,0.9134,0.9132,0.4256,2011-03-23,2026-06-02
PEN,10Y,4088,0.7964,0.7961,0.4785,2010-01-04,2026-06-02
COP,10Y,4088,0.9056,0.9055,0.6779,2010-01-04,2026-06-02
