model,country,first_obs,last_obs,n_obs,embi_min,embi_max,embi_sd
FX,CLP,2012-10-05,2026-06-02,3395,NA,NA,NA
FX,BRL,2012-10-05,2026-06-02,3395,NA,NA,NA
FX,MXN,2012-10-05,2026-06-02,3395,NA,NA,NA
FX,PEN,2012-10-05,2026-06-02,3395,NA,NA,NA
FX,COP,2012-10-05,2026-06-02,3395,NA,NA,NA
10Y,CLP,2010-01-04,2026-06-02,4088,80,388,35.7589006454049
10Y,BRL,2010-03-09,2026-06-02,4042,133,598,71.98869427082937
10Y,MXN,2011-03-23,2026-06-02,3781,139,733,92.02925079578382
10Y,PEN,2010-01-04,2026-06-02,4088,91,372,34.74036850251551
10Y,COP,2010-01-04,2026-06-02,4088,96,522,81.20131394974923
